Data As Of,Start Date,End Date,Group,Year,Month,State,Place of Death,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Footnote
04/27/2022,01/01/2020,04/23/2022,By Total,,,Maine,Place of death unknown,,17,0,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,01/01/2020,04/23/2022,By Total,,,Maryland,Total - All Places of Death,15422,134397,13498,6491,179,22584,
04/27/2022,01/01/2020,04/23/2022,By Total,,,Maryland,"Healthcare setting, inpatient",9323,36011,8982,4917,121,13489,
04/27/2022,01/01/2020,04/23/2022,By Total,,,Maryland,"Healthcare setting, outpatient or emergency room",573,9105,381,96,11,869,
04/27/2022,01/01/2020,04/23/2022,By Total,,,Maryland,"Healthcare setting, dead on arrival",,147,,,0,14,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,01/01/2020,04/23/2022,By Total,,,Maryland,Decedent's home,1244,43524,942,264,12,1934,
04/27/2022,01/01/2020,04/23/2022,By Total,,,Maryland,Hospice facility,1172,13366,1643,608,14,2220,
04/27/2022,01/01/2020,04/23/2022,By Total,,,Maryland,Nursing home/long term care facility,2525,18664,1162,484,17,3217,
04/27/2022,01/01/2020,04/23/2022,By Total,,,Maryland,Other,576,13580,382,121,,841,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,01/01/2020,04/23/2022,By Total,,,Maryland,Place of death unknown,0,0,0,0,0,0,
04/27/2022,01/01/2020,04/23/2022,By Total,,,Massachusetts,Total - All Places of Death,18166,152467,15350,7764,263,25999,
04/27/2022,01/01/2020,04/23/2022,By Total,,,Massachusetts,"Healthcare setting, inpatient",10814,49930,11384,6280,184,16094,
04/27/2022,01/01/2020,04/23/2022,By Total,,,Massachusetts,"Healthcare setting, outpatient or emergency room",575,10465,417,132,16,872,
04/27/2022,01/01/2020,04/23/2022,By Total,,,Massachusetts,"Healthcare setting, dead on arrival",23,1318,,,0,29,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,01/01/2020,04/23/2022,By Total,,,Massachusetts,Decedent's home,1006,45467,980,248,21,1758,
04/27/2022,01/01/2020,04/23/2022,By Total,,,Massachusetts,Hospice facility,157,6894,339,66,12,442,
04/27/2022,01/01/2020,04/23/2022,By Total,,,Massachusetts,Nursing home/long term care facility,5087,29160,2001,962,23,6146,
04/27/2022,01/01/2020,04/23/2022,By Total,,,Massachusetts,Other,504,9232,221,74,,658,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,01/01/2020,04/23/2022,By Total,,,Massachusetts,Place of death unknown,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,01/01/2020,04/23/2022,By Total,,,Michigan,Total - All Places of Death,31773,263465,28235,16739,345,43585,
04/27/2022,01/01/2020,04/23/2022,By Total,,,Michigan,"Healthcare setting, inpatient",22199,81637,22407,14349,250,30482,
04/27/2022,01/01/2020,04/23/2022,By Total,,,Michigan,"Healthcare setting, outpatient or emergency room",1329,15716,1151,527,16,1969,
04/27/2022,01/01/2020,04/23/2022,By Total,,,Michigan,"Healthcare setting, dead on arrival",14,470,,,0,20,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,01/01/2020,04/23/2022,By Total,,,Michigan,Decedent's home,3394,98942,2155,905,33,4676,
04/27/2022,01/01/2020,04/23/2022,By Total,,,Michigan,Hospice facility,897,19344,540,167,,1274,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,01/01/2020,04/23/2022,By Total,,,Michigan,Nursing home/long term care facility,3652,38425,1739,674,38,4752,
04/27/2022,01/01/2020,04/23/2022,By Total,,,Michigan,Other,287,8906,236,116,,411,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,01/01/2020,04/23/2022,By Total,,,Michigan,Place of death unknown,,25,0,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,01/01/2020,04/23/2022,By Total,,,Minnesota,Total - All Places of Death,12695,118226,10373,4931,201,18328,
04/27/2022,01/01/2020,04/23/2022,By Total,,,Minnesota,"Healthcare setting, inpatient",6564,30977,6611,3647,118,9639,
04/27/2022,01/01/2020,04/23/2022,By Total,,,Minnesota,"Healthcare setting, outpatient or emergency room",262,4247,201,74,,394,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,01/01/2020,04/23/2022,By Total,,,Minnesota,"Healthcare setting, dead on arrival",,114,,,0,10,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,01/01/2020,04/23/2022,By Total,,,Minnesota,Decedent's home,1482,39556,1251,385,26,2373,
04/27/2022,01/01/2020,04/23/2022,By Total,,,Minnesota,Hospice facility,75,3491,169,32,,217,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,01/01/2020,04/23/2022,By Total,,,Minnesota,Nursing home/long term care facility,4098,33813,1980,744,44,5376,
04/27/2022,01/01/2020,04/23/2022,By Total,,,Minnesota,Other,203,5890,155,47,,314,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,01/01/2020,04/23/2022,By Total,,,Minnesota,Place of death unknown,,138,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,01/01/2020,04/23/2022,By Total,,,Mississippi,Total - All Places of Death,13142,91078,12012,6828,119,18425,
04/27/2022,01/01/2020,04/23/2022,By Total,,,Mississippi,"Healthcare setting, inpatient",9274,30978,9742,5863,83,13220,
04/27/2022,01/01/2020,04/23/2022,By Total,,,Mississippi,"Healthcare setting, outpatient or emergency room",763,7963,507,228,12,1053,
04/27/2022,01/01/2020,04/23/2022,By Total,,,Mississippi,"Healthcare setting, dead on arrival",13,177,,,,16,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,01/01/2020,04/23/2022,By Total,,,Mississippi,Decedent's home,1257,30890,709,261,14,1718,
04/27/2022,01/01/2020,04/23/2022,By Total,,,Mississippi,Hospice facility,246,3712,298,122,,424,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,01/01/2020,04/23/2022,By Total,,,Mississippi,Nursing home/long term care facility,1442,11148,672,320,,1798,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,01/01/2020,04/23/2022,By Total,,,Mississippi,Other,147,6207,79,31,,196,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,01/01/2020,04/23/2022,By Total,,,Mississippi,Place of death unknown,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,01/01/2020,04/23/2022,By Total,,,Missouri,Total - All Places of Death,20485,174641,17466,10068,283,28145,
04/27/2022,01/01/2020,04/23/2022,By Total,,,Missouri,"Healthcare setting, inpatient",13812,54905,13434,8370,187,19051,
04/27/2022,01/01/2020,04/23/2022,By Total,,,Missouri,"Healthcare setting, outpatient or emergency room",583,9624,452,188,15,860,
04/27/2022,01/01/2020,04/23/2022,By Total,,,Missouri,"Healthcare setting, dead on arrival",,103,,,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,01/01/2020,04/23/2022,By Total,,,Missouri,Decedent's home,1679,58524,1281,504,29,2483,
04/27/2022,01/01/2020,04/23/2022,By Total,,,Missouri,Hospice facility,288,6748,401,150,15,552,
04/27/2022,01/01/2020,04/23/2022,By Total,,,Missouri,Nursing home/long term care facility,3947,36322,1776,800,31,4951,
04/27/2022,01/01/2020,04/23/2022,By Total,,,Missouri,Other,172,8415,120,54,,243,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,01/01/2020,04/23/2022,By Total,,,Missouri,Place of death unknown,0,0,0,0,0,0,
04/27/2022,01/01/2020,04/23/2022,By Total,,,Montana,Total - All Places of Death,3507,28081,2929,1846,49,4638,
04/27/2022,01/01/2020,04/23/2022,By Total,,,Montana,"Healthcare setting, inpatient",2347,9001,2241,1530,28,3085,
04/27/2022,01/01/2020,04/23/2022,By Total,,,Montana,"Healthcare setting, outpatient or emergency room",78,1035,69,29,0,118,
04/27/2022,01/01/2020,04/23/2022,By Total,,,Montana,"Healthcare setting, dead on arrival",,28,0,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,01/01/2020,04/23/2022,By Total,,,Montana,Decedent's home,359,9620,227,101,,491,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,01/01/2020,04/23/2022,By Total,,,Montana,Hospice facility,65,1039,91,48,,110,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,01/01/2020,04/23/2022,By Total,,,Montana,Nursing home/long term care facility,632,5798,279,131,13,793,
04/27/2022,01/01/2020,04/23/2022,By Total,,,Montana,Other,23,1560,22,,0,38,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,01/01/2020,04/23/2022,By Total,,,Montana,Place of death unknown,0,0,0,0,0,0,
04/27/2022,01/01/2020,04/23/2022,By Total,,,Nebraska,Total - All Places of Death,4929,44163,4556,2246,80,7315,
04/27/2022,01/01/2020,04/23/2022,By Total,,,Nebraska,"Healthcare setting, inpatient",3132,13478,3269,1852,54,4599,
04/27/2022,01/01/2020,04/23/2022,By Total,,,Nebraska,"Healthcare setting, outpatient or emergency room",140,2347,98,33,,207,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,01/01/2020,04/23/2022,By Total,,,Nebraska,"Healthcare setting, dead on arrival",0,33,0,0,0,0,
04/27/2022,01/01/2020,04/23/2022,By Total,,,Nebraska,Decedent's home,410,12203,400,107,,710,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,01/01/2020,04/23/2022,By Total,,,Nebraska,Hospice facility,53,1189,72,13,,113,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,01/01/2020,04/23/2022,By Total,,,Nebraska,Nursing home/long term care facility,975,10444,605,211,11,1380,
04/27/2022,01/01/2020,04/23/2022,By Total,,,Nebraska,Other,219,4469,112,30,,306,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,01/01/2020,04/23/2022,By Total,,,Nebraska,Place of death unknown,0,0,0,0,0,0,
04/27/2022,01/01/2020,04/23/2022,By Total,,,Nevada,Total - All Places of Death,10976,75165,12074,8463,73,14658,
04/27/2022,01/01/2020,04/23/2022,By Total,,,Nevada,"Healthcare setting, inpatient",8085,25867,9613,6907,44,10834,
04/27/2022,01/01/2020,04/23/2022,By Total,,,Nevada,"Healthcare setting, outpatient or emergency room",395,6312,400,215,,587,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,01/01/2020,04/23/2022,By Total,,,Nevada,"Healthcare setting, dead on arrival",,19,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,01/01/2020,04/23/2022,By Total,,,Nevada,Decedent's home,1111,25244,690,418,14,1397,
04/27/2022,01/01/2020,04/23/2022,By Total,,,Nevada,Hospice facility,1021,9844,1018,709,,1336,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,01/01/2020,04/23/2022,By Total,,,Nevada,Nursing home/long term care facility,247,4068,235,146,0,336,
04/27/2022,01/01/2020,04/23/2022,By Total,,,Nevada,Other,116,3804,117,67,,167,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,01/01/2020,04/23/2022,By Total,,,Nevada,Place of death unknown,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,01/01/2020,04/23/2022,By Total,,,New Hampshire,Total - All Places of Death,2453,31702,2253,963,46,3786,
04/27/2022,01/01/2020,04/23/2022,By Total,,,New Hampshire,"Healthcare setting, inpatient",1253,8418,1579,800,35,2065,
04/27/2022,01/01/2020,04/23/2022,By Total,,,New Hampshire,"Healthcare setting, outpatient or emergency room",51,1328,50,,,93,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,01/01/2020,04/23/2022,By Total,,,New Hampshire,"Healthcare setting, dead on arrival",,33,0,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,01/01/2020,04/23/2022,By Total,,,New Hampshire,Decedent's home,223,11592,214,46,,398,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,01/01/2020,04/23/2022,By Total,,,New Hampshire,Hospice facility,27,1317,54,,0,72,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,01/01/2020,04/23/2022,By Total,,,New Hampshire,Nursing home/long term care facility,841,7122,321,90,,1074,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,01/01/2020,04/23/2022,By Total,,,New Hampshire,Other,56,1884,34,,0,82,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,01/01/2020,04/23/2022,By Total,,,New Hampshire,Place of death unknown,,,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,01/01/2020,04/23/2022,By Total,,,New Jersey,Total - All Places of Death,31826,204948,24863,16020,177,40827,
04/27/2022,01/01/2020,04/23/2022,By Total,,,New Jersey,"Healthcare setting, inpatient",22000,74688,19196,13033,125,28275,
04/27/2022,01/01/2020,04/23/2022,By Total,,,New Jersey,"Healthcare setting, outpatient or emergency room",924,11337,576,258,10,1250,
04/27/2022,01/01/2020,04/23/2022,By Total,,,New Jersey,"Healthcare setting, dead on arrival",42,667,17,,,52,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,01/01/2020,04/23/2022,By Total,,,New Jersey,Decedent's home,2050,64170,1150,491,15,2722,
04/27/2022,01/01/2020,04/23/2022,By Total,,,New Jersey,Hospice facility,673,6653,542,304,,915,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,01/01/2020,04/23/2022,By Total,,,New Jersey,Nursing home/long term care facility,5719,36697,3113,1785,17,7062,
04/27/2022,01/01/2020,04/23/2022,By Total,,,New Jersey,Other,417,10733,268,140,,550,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
